Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point,System_Load,Reg_Service_Price,Reg_Capacity_Price,Min_5min_RSP,Max_5min_RSP,Min_5min_RCP,Max_5min_RCP
01/01/2022,1,10845.4,10789.727,32.22,32.35,-0.12,-0.01,25.9,25.95,0,-0.05,44,43,10983,0.2375,11.28416667,0.05,0.3,9.99,20.12
01/01/2022,2,10593.7,10320.195,32.12,32.31,-0.14,-0.05,25.87,25.87,0,0,44,43,10510,0.3,11.38333333,0.3,0.3,10.54,11.46
01/01/2022,3,10207.3,9972.371,30.76,30.85,0,-0.09,27.51,27.5,0,0.01,44,43,10161,0.1125,12.375,0.05,0.3,11.46,12.68
01/01/2022,4,10026.4,9779.883,29.6,29.69,0,-0.09,25.14,25.13,0,0.01,44,43,9970,0.258333333,11.76333333,0.05,0.3,11.58,12.68
01/01/2022,5,10283,9777.168,30.78,30.86,0,-0.08,29.28,29.27,0,0.01,44,43,9973,0.1125,12.405,0.05,0.3,11.58,12.68
01/01/2022,6,10135.4,9949.129,30.72,30.83,0,-0.11,28.43,28.41,0,0.02,44,43,10144,0.05,10.76583333,0.05,0.05,10.31,12.68
01/01/2022,7,10179.2,10320.81,30.62,30.71,0,-0.09,24.94,24.92,0,0.02,44,43,10512,0.05,7.6,0.05,0.05,6.78,10.62
01/01/2022,8,10593.4,10762.879,30.64,30.76,0,-0.12,22.9,22.9,0,0,44,44,10956,0.05,7.691666667,0.05,0.05,7.02,8.28
01/01/2022,9,11291.5,11316.838,32.53,32.62,0,-0.09,23.88,23.89,0,-0.01,44,44,11521,0.05,7.075,0.05,0.05,6.95,7.7
01/01/2022,10,12407.9,12045.7,33.21,33.34,0,-0.13,22.28,22.29,0,-0.01,45,44,12244,0.258333333,6.566666667,0.05,0.3,6.49,6.95
01/01/2022,11,12667.9,12677.865,38.53,38.7,0,-0.17,31.02,31.01,0,0.01,45,45,12901,0.091666667,7.706666667,0.05,0.3,6.49,13.59
01/01/2022,12,12995.7,13081.839,41.58,41.76,0,-0.18,34.56,34.54,0,0.02,46,45,13300,0.05,13.35916667,0.05,0.05,9.5,13.71
01/01/2022,13,12756.7,13208.714,37.66,37.81,0,-0.15,32.98,32.95,0,0.03,46,45,13432,0.05,12.39916667,0.05,0.05,12.28,13.71
01/01/2022,14,12637.3,13184.358,33.51,33.61,0,-0.1,33.23,33.22,0,0.01,47,46,13401,0.05,12.18,0.05,0.05,12.16,12.28
01/01/2022,15,12298.1,13085.272,32.97,33.05,0,-0.08,32.4,32.38,0,0.02,48,47,13302,0.05,7.635,0.05,0.05,6.73,12.16
