Date,Hr_End,DA_Demand,Dry_Bulb
08/01/2021,6,12674.2,24
08/01/2021,7,14112.2,24
08/01/2021,8,15099.6,23
08/01/2021,9,15077.2,24
08/01/2021,10,14454.2,27
08/01/2021,11,13833.9,30
08/01/2021,12,13386.4,33
08/01/2021,13,12935.1,35
08/01/2021,14,13170.2,37
08/01/2021,15,13401.5,39
08/01/2021,16,14098.8,39
08/01/2021,17,15418.5,37
08/01/2021,18,16501.8,34
08/01/2021,19,16164.3,32
08/01/2021,20,15482.4,32
08/01/2021,21,14992.2,30
08/01/2021,22,14027.1,28
08/01/2021,23,13052.8,27
08/01/2021,24,12362.8,26
09/01/2021,1,12015.9,25
09/01/2021,2,11678.1,25
09/01/2021,3,11436.3,24
09/01/2021,4,11450.7,24
09/01/2021,5,11531.3,23
09/01/2021,6,12027.4,23
09/01/2021,7,12661.8,22
09/01/2021,8,13326.7,22
09/01/2021,9,13835.4,23
09/01/2021,10,13849.6,26
09/01/2021,11,13514.7,28
09/01/2021,12,13206.2,30
09/01/2021,13,13021.8,32
09/01/2021,14,12986.8,32
09/01/2021,15,13240.0,34
09/01/2021,16,13726.2,34
09/01/2021,17,15001.4,33
09/01/2021,18,16032.3,32
09/01/2021,19,15561.9,32
09/01/2021,20,14903.0,32
09/01/2021,21,14476.2,31
09/01/2021,22,13700.8,31
09/01/2021,23,12736.0,31
09/01/2021,24,11899.6,30
10/01/2021,1,11222.7,30
10/01/2021,2,11011.9,30
10/01/2021,3,10843.5,29
10/01/2021,4,10844.0,28
10/01/2021,5,10953.5,26
10/01/2021,6,11295.4,26
10/01/2021,7,11872.2,26
10/01/2021,8,12435.0,25
10/01/2021,9,12623.2,25
10/01/2021,10,12404.6,28
10/01/2021,11,12318.4,31
10/01/2021,12,12150.5,34
10/01/2021,13,12116.8,36
10/01/2021,14,12190.1,38
10/01/2021,15,12614.5,39
10/01/2021,16,13250.4,39
10/01/2021,17,14847.6,38
10/01/2021,18,16140.3,34
10/01/2021,19,15804.7,32
10/01/2021,20,15217.5,30
10/01/2021,21,14593.9,30
10/01/2021,22,13809.2,29
10/01/2021,23,12746.0,28
10/01/2021,24,11800.7,26
11/01/2021,1,11621.7,25
11/01/2021,2,11216.2,24
11/01/2021,3,11168.5,24
11/01/2021,4,11250.5,23
11/01/2021,5,11297.0,22
11/01/2021,6,12160.1,22
11/01/2021,7,14104.4,22
11/01/2021,8,15211.0,23
11/01/2021,9,15077.5,23
11/01/2021,10,14962.1,25
11/01/2021,11,14821.0,28
11/01/2021,12,14556.3,29
11/01/2021,13,14246.2,31
11/01/2021,14,14195.4,31
11/01/2021,15,14237.0,32
11/01/2021,16,14544.7,33
11/01/2021,17,15872.2,32
11/01/2021,18,16853.8,32
11/01/2021,19,16204.3,31
11/01/2021,20,15657.9,31
11/01/2021,21,14910.0,30
11/01/2021,22,14088.4,30
11/01/2021,23,12612.5,28
11/01/2021,24,11754.3,27
12/01/2021,1,12099.2,27
12/01/2021,2,11983.3,26
12/01/2021,3,11905.0,24
12/01/2021,4,11909.2,25
12/01/2021,5,11955.4,24
12/01/2021,6,12743.6,24
12/01/2021,7,14270.6,24
12/01/2021,8,15062.4,24
12/01/2021,9,15015.6,25
12/01/2021,10,14413.1,28
12/01/2021,11,14275.4,32
12/01/2021,12,13892.3,35
12/01/2021,13,13591.0,36
12/01/2021,14,13516.3,38
12/01/2021,15,13862.2,38
12/01/2021,16,14466.5,38
12/01/2021,17,15727.2,36
12/01/2021,18,16614.5,35
12/01/2021,19,16173.7,34
12/01/2021,20,15694.3,34
12/01/2021,21,15140.8,33
12/01/2021,22,14071.2,34
12/01/2021,23,12833.6,33
12/01/2021,24,11683.1,33
13/01/2021,1,11608.3,33
13/01/2021,2,11440.7,32
13/01/2021,3,11309.1,32
13/01/2021,4,11408.7,31
13/01/2021,5,11492.1,30
13/01/2021,6,12261.9,29
13/01/2021,7,13673.4,29
13/01/2021,8,14748.8,28
13/01/2021,9,14543.6,28
13/01/2021,10,13882.0,32
13/01/2021,11,13988.3,35
13/01/2021,12,13557.6,36
13/01/2021,13,13342.8,37
13/01/2021,14,13314.7,38
13/01/2021,15,13709.1,37
13/01/2021,16,14479.1,37
13/01/2021,17,15500.6,37
13/01/2021,18,16492.3,36
13/01/2021,19,16024.6,35
13/01/2021,20,15456.4,35
13/01/2021,21,14763.7,35
13/01/2021,22,13812.2,35
13/01/2021,23,12545.1,35
13/01/2021,24,11750.2,33
14/01/2021,1,11743.8,33
14/01/2021,2,11438.1,32
14/01/2021,3,11279.0,32
14/01/2021,4,11338.4,32
14/01/2021,5,11651.1,32
14/01/2021,6,11895.9,32
14/01/2021,7,13426.2,31
14/01/2021,8,14317.1,32
14/01/2021,9,14789.6,32
14/01/2021,10,14782.0,34
14/01/2021,11,14682.5,35
14/01/2021,12,14624.5,36
14/01/2021,13,14576.4,37
14/01/2021,14,14483.1,37
14/01/2021,15,14473.1,38
14/01/2021,16,14780.2,37
14/01/2021,17,15534.6,37
14/01/2021,18,16104.1,36
14/01/2021,19,15895.9,35
14/01/2021,20,15270.7,35
14/01/2021,21,14675.1,35
14/01/2021,22,13849.7,35
14/01/2021,23,12315.3,34
14/01/2021,24,11690.4,34
15/01/2021,1,11236.5,34
15/01/2021,2,11138.0,34
15/01/2021,3,11051.8,33
15/01/2021,4,11100.3,32
15/01/2021,5,10971.6,32
15/01/2021,6,11495.4,33
15/01/2021,7,13169.7,32
15/01/2021,8,14436.3,33
15/01/2021,9,14727.2,33
15/01/2021,10,14577.5,34
15/01/2021,11,14633.7,36
15/01/2021,12,14302.6,38
15/01/2021,13,14205.0,39
15/01/2021,14,14208.7,39
15/01/2021,15,14168.2,40
15/01/2021,16,14450.4,39
15/01/2021,17,15148.0,39
15/01/2021,18,15546.4,39
15/01/2021,19,15260.1,38
15/01/2021,20,14573.0,38
15/01/2021,21,13941.2,38
15/01/2021,22,12917.7,38
15/01/2021,23,12132.9,37
15/01/2021,24,11723.5,37
16/01/2021,1,10859.2,37
16/01/2021,2,10717.2,37
16/01/2021,3,10385.6,37
16/01/2021,4,10345.9,37
16/01/2021,5,10566.7,37
16/01/2021,6,10598.0,38
16/01/2021,7,10912.0,39
16/01/2021,8,11742.2,39
16/01/2021,9,12807.2,40
16/01/2021,10,13130.9,41
16/01/2021,11,13185.5,42
16/01/2021,12,13070.5,43
16/01/2021,13,12787.7,44
16/01/2021,14,12606.4,45
16/01/2021,15,12698.7,46
16/01/2021,16,12813.8,45
16/01/2021,17,13677.7,44
16/01/2021,18,14317.5,42
16/01/2021,19,13816.1,41
16/01/2021,20,13399.3,40
16/01/2021,21,12912.6,39
16/01/2021,22,12216.8,37
16/01/2021,23,11458.8,36
16/01/2021,24,10667.1,35
17/01/2021,1,10292.2,35
17/01/2021,2,9994.6,35
17/01/2021,3,9924.8,35
17/01/2021,4,10014.2,34
17/01/2021,5,10188.0,34
17/01/2021,6,10309.2,34
17/01/2021,7,10575.6,34
17/01/2021,8,11152.1,34
17/01/2021,9,11651.0,34
17/01/2021,10,11923.1,36
17/01/2021,11,11836.8,38
17/01/2021,12,11960.5,40
17/01/2021,13,11976.3,40
17/01/2021,14,12069.2,41
17/01/2021,15,12231.9,41
17/01/2021,16,12461.2,41
17/01/2021,17,13696.4,40
17/01/2021,18,14567.5,39
17/01/2021,19,13939.0,39
17/01/2021,20,13346.1,39
17/01/2021,21,12770.5,39
17/01/2021,22,11884.3,39
17/01/2021,23,10982.4,38
17/01/2021,24,10202.8,38
18/01/2021,1,10505.5,38
18/01/2021,2,10361.3,38
18/01/2021,3,10242.7,37
18/01/2021,4,10216.7,37
18/01/2021,5,10125.9,37
18/01/2021,6,10696.6,36
18/01/2021,7,11401.7,35
18/01/2021,8,12050.7,35
18/01/2021,9,12342.1,35
18/01/2021,10,12311.7,36
18/01/2021,11,12436.9,39
18/01/2021,12,12530.8,41
18/01/2021,13,12407.8,42
18/01/2021,14,12372.4,41
18/01/2021,15,12593.8,42
18/01/2021,16,12989.1,41
18/01/2021,17,14019.3,39
18/01/2021,18,14959.2,38
18/01/2021,19,14849.6,36
18/01/2021,20,14185.2,34
18/01/2021,21,13586.9,33
18/01/2021,22,12787.9,31
18/01/2021,23,11550.6,31
18/01/2021,24,11087.9,30
19/01/2021,1,11468.0,29
19/01/2021,2,11165.0,27
19/01/2021,3,11001.4,28
19/01/2021,4,11112.0,26
19/01/2021,5,11327.8,25
19/01/2021,6,11831.9,25
19/01/2021,7,13284.1,25
19/01/2021,8,14275.7,26
19/01/2021,9,14184.2,26
19/01/2021,10,13676.5,29
19/01/2021,11,13259.1,32
19/01/2021,12,13065.4,34
19/01/2021,13,12890.7,36
19/01/2021,14,12914.5,37
19/01/2021,15,13231.6,38
19/01/2021,16,13636.7,37
19/01/2021,17,14711.5,36
19/01/2021,18,15972.9,34
19/01/2021,19,15512.5,33
19/01/2021,20,14918.1,33
19/01/2021,21,14198.5,31
19/01/2021,22,13268.2,31
19/01/2021,23,11869.2,31
19/01/2021,24,11491.8,30
20/01/2021,1,11064.8,29
20/01/2021,2,10626.8,29
20/01/2021,3,10511.9,29
20/01/2021,4,10523.0,29
20/01/2021,5,10786.6,29
20/01/2021,6,11515.7,30
20/01/2021,7,13128.5,30
20/01/2021,8,14462.4,29
20/01/2021,9,14435.6,29
20/01/2021,10,14226.5,31
20/01/2021,11,14003.3,33
20/01/2021,12,13870.7,34
20/01/2021,13,13649.8,35
20/01/2021,14,13648.5,36
20/01/2021,15,13802.1,35
20/01/2021,16,14247.8,34
20/01/2021,17,15318.7,33
20/01/2021,18,16684.2,30
20/01/2021,19,16161.2,28
20/01/2021,20,15696.6,27
20/01/2021,21,14922.0,26
20/01/2021,22,14053.7,25
20/01/2021,23,12963.8,23
20/01/2021,24,12437.7,22
21/01/2021,1,12152.0,21
21/01/2021,2,11741.7,20
21/01/2021,3,11666.9,19
21/01/2021,4,11826.2,19
21/01/2021,5,12038.8,19
21/01/2021,6,12795.5,19
21/01/2021,7,14082.3,19
21/01/2021,8,15064.4,18
21/01/2021,9,15138.5,20
21/01/2021,10,14975.4,21
21/01/2021,11,14809.8,24
21/01/2021,12,14617.6,26
21/01/2021,13,14401.6,28
21/01/2021,14,14386.5,28
21/01/2021,15,14365.9,29
21/01/2021,16,14736.9,30
21/01/2021,17,15376.2,31
21/01/2021,18,16333.0,30
21/01/2021,19,15868.0,29
21/01/2021,20,15488.4,28
21/01/2021,21,14805.9,28
21/01/2021,22,13698.8,28
21/01/2021,23,12496.9,29
21/01/2021,24,12110.1,29
22/01/2021,1,12362.6,30
22/01/2021,2,12290.6,29
22/01/2021,3,12047.1,29
22/01/2021,4,12364.3,30
22/01/2021,5,12388.5,29
22/01/2021,6,12501.4,28
22/01/2021,7,13816.2,27
22/01/2021,8,14776.2,28
22/01/2021,9,14758.8,30
22/01/2021,10,14223.8,32
22/01/2021,11,13777.1,35
22/01/2021,12,13518.3,38
22/01/2021,13,13556.4,40
22/01/2021,14,13520.3,40
22/01/2021,15,13755.4,41
22/01/2021,16,14159.7,40
22/01/2021,17,14851.0,39
22/01/2021,18,15439.6,37
22/01/2021,19,15281.3,36
22/01/2021,20,14614.9,35
22/01/2021,21,14305.3,34
22/01/2021,22,13662.1,33
22/01/2021,23,12568.3,32
22/01/2021,24,12134.1,32
23/01/2021,1,11884.9,31
23/01/2021,2,11641.4,30
23/01/2021,3,11400.5,29
23/01/2021,4,11498.3,29
23/01/2021,5,11583.5,27
23/01/2021,6,11817.9,26
23/01/2021,7,12312.8,25
23/01/2021,8,12746.3,25
23/01/2021,9,13303.7,24
23/01/2021,10,13462.2,25
23/01/2021,11,13363.2,26
23/01/2021,12,13369.6,26
23/01/2021,13,13108.8,26
23/01/2021,14,13106.4,27
23/01/2021,15,13348.6,27
23/01/2021,16,13666.9,25
23/01/2021,17,14840.2,24
23/01/2021,18,15912.4,22
23/01/2021,19,15770.3,21
23/01/2021,20,15252.4,20
23/01/2021,21,14646.9,19
23/01/2021,22,14058.5,18
23/01/2021,23,13449.6,17
23/01/2021,24,12636.7,17
24/01/2021,1,11925.3,16
24/01/2021,2,11794.9,15
24/01/2021,3,11616.9,15
24/01/2021,4,11524.6,15
24/01/2021,5,11714.8,15
24/01/2021,6,11920.9,15
24/01/2021,7,12179.4,16
24/01/2021,8,13094.2,15
24/01/2021,9,13429.0,16
24/01/2021,10,13103.1,18
24/01/2021,11,12969.9,21
24/01/2021,12,12899.7,23
24/01/2021,13,12957.7,26
24/01/2021,14,12863.9,27
24/01/2021,15,13035.9,28
24/01/2021,16,13263.3,28
24/01/2021,17,14451.1,27
24/01/2021,18,15648.7,25
24/01/2021,19,15501.1,23
24/01/2021,20,15006.9,22
24/01/2021,21,14364.6,21
24/01/2021,22,13640.1,21
24/01/2021,23,12565.9,20
24/01/2021,24,12026.6,20
25/01/2021,1,12260.6,19
25/01/2021,2,12265.7,19
25/01/2021,3,12105.0,18
